20231221	12:39:01	86c459ea-3257-4613-9853-4018e83484a3	GET	undefined	/users
20231221	12:39:13	82ed0974-18c7-4342-a29c-d9451e0c9094	GET	undefined	/users
20231221	12:52:48	1d44ced6-17ad-4218-b8b4-4f7350fe6a5b	POST	undefined	/auth
20231221	12:58:20	b93ab9cc-a5ce-4528-8d15-22f1d248678f	POST	undefined	/auth
20231221	12:58:39	d2bcd7ed-e681-4b66-a009-5669892fb741	PUT	undefined	/users
20231221	13:00:45	cc685644-acf9-4414-ad68-db091b7d91f0	PUT	undefined	/users
20231221	13:01:55	3e12b391-2b0d-41d5-97d4-2f6f7b426563	PUT	undefined	/users
20231221	13:02:10	5e048a6f-06f0-4575-8f7f-f75d2deca7ed	GET	undefined	/logout
20231221	13:02:27	d28981ac-82a6-4a66-9953-d2e490b529ff	POST	undefined	/auth
20231221	13:02:32	41e5d655-9026-4d85-9866-0dda4a95420d	POST	undefined	/auth
20231221	13:02:42	a6fe46ce-ca1b-4ba0-bd05-2122b946beb0	GET	undefined	/users
20231221	13:02:52	61c7cb81-82dc-4288-a8e9-2c20140139c0	PUT	undefined	/users
20231221	13:02:56	832875b9-fc6f-44be-ae33-158db6dcc2ce	GET	undefined	/logout
20231221	13:03:05	1b18bdb7-c3dc-4ab9-b604-075fd9e5209d	POST	undefined	/auth
20231221	13:03:08	cc79f8c1-8c6f-4c3d-b679-373646fae1fc	POST	undefined	/auth
20231221	13:03:20	9af16729-77ba-429b-954b-d6d01a95e093	GET	undefined	/users
20231221	13:03:58	d2789b46-3fde-4f84-b41a-43877e9c60b0	PUT	undefined	/users
20231221	13:04:11	5ef12f77-0b3a-46ff-a386-fddab892acb5	GET	undefined	/logout
20231221	13:04:17	1fae9155-61d4-4f28-86e7-a26c30ab9217	POST	undefined	/auth
20231221	13:04:30	e11b874d-11e1-41c9-a222-0c3d8c8235ca	GET	undefined	/users
20231221	13:04:45	9442a765-6a51-4ec9-a1d7-5e50fc9aa37c	PUT	undefined	/users
20231221	13:04:49	58094119-f922-4b36-a2c5-91c891016b88	GET	undefined	/users
20231221	13:05:08	54d0cab8-68a1-40d5-9bf0-79df50e97066	GET	undefined	/users
20231221	13:05:43	bd942964-af68-4287-a752-483588082576	GET	undefined	/refresh
20231221	13:05:55	1fddbd1d-5354-4bec-be03-81c2034d1002	PUT	undefined	/users
20231221	13:06:04	1f069e94-2f30-491e-860a-947bf48cddeb	GET	undefined	/users
20231221	13:06:09	93f55421-2493-4b09-b7c0-928afbee9e1c	GET	undefined	/users
20231221	13:16:20	0a5a2622-cf44-4753-aaa1-f411f63ae1e9	POST	undefined	/register
20231221	13:18:24	fad8caf0-b35d-4a03-9e49-b7d54f3191de	POST	undefined	/register
20231221	13:18:53	d3495cd1-704d-4029-93ab-63dcb1528a97	POST	undefined	/register
20231221	13:27:52	86a82f76-0d20-4d9f-ae92-6fb53aca8801	POST	undefined	/auth
20231221	13:28:37	4f8de05f-b677-4377-b2be-dff5be92f319	PUT	undefined	/users
